artists,spotify_id,monthly_listeners
Grace George,5twhJoJJtAOsHl6KQjji8Z,488000
Jack Savoretti,7nC05zmJukRGYObQeRgg3x,763100
Richard Walters,3rUqgY188kWz0hKkqnpk9F,248300
Kaiak,3ib0ROvqntFv8PPQ2CIlso,335600
Viktoria Tolstoy,7blyuo5sQPRB2tmtUf2SpZ,99300
Bailey Rushlow,1tTQcokfKcsCxZaHF2pIhw,451000
Wayne Mack,62eR2vdahhu9BuJesGEQCI,29400
Aimyon,5kVZa4lFUmAQlBogl1fkd6,5200000
Sungha Jung,3OpWOvjJnk86geCHrAxkHA,101400
Zee Avi,6zGcYBjlNOMSVVrl7ZoGsH,114500
Joshua Radin,7omzannyG2lfDqP5xyZo34,464100
Bailey Pelkman,6Yf66b8yGM70EPGmoPvN0s,88200
Randy Rektor,0W0CgVReXLV2PQ0zQADjCC,66200
Tres Hermanas,3rXT3DX9OeNMfH8Thivxrk,131500
Dave Van Ronk,6QmHysWvckkQR74oxmLmtz,124400
Josh Klinghoffer,3nByCLLgBS3VGDmDvtdyLl,1700
Freddie Boatright,4QnIbY1Ic9d8ngmOCk2HeB,0
AcousticTrench,7FtIwSBEj9k7ANhBpnqxsX,22400
Lee DeWyze,1KNNZV9twnpQBqyUoGvWA6,172200
Clementine Duo,4s6YWKUwngB7oxE6CPWsW2,184900
Brandon Chase,3qXWWITvZcTD1M2QmXszJK,647200
Austin Basham,3Dd1WVQvZUgyi9XEqOIPhA,143400
Eastmountainsouth,4H7QVpyCHkaUeEOpCPzZQk,18000
Peter Bradley Adams,0CdbG1eHVjqjkQsGoH2u1V,345500
Suy Galvez,3eCn1jNrQSk0aE1cgkArZz,26600
Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,735500
Buddy Guy,2gCsNOpiBaMNh20jQ5prf0,766100
Bonnie Raitt,4KDyYWR7IpxZ7xrdYbKrqY,2300000
Mance Lipscomb,7jmGjfkkVOjBdjf54YHhwg,10900
Violent Femmes,0rpMdBzQXf7aYRnu5fDBJy,2400000
Drei Rana,,
Selena Marie,3Fry4pa5Q3xXItdaW73pno,1300
Harley Poe,6lqmbDjxe5rhvXIyfNl23o,97500
Trevor Hall,3RMHexittaAZkf8zukkZB8,1700000
Marieme,2GcthSTguQ2Xbbq03jb1fP,9300
Colin & Caroline,2Y4125mDrgQyPD7dt76Rtm,335200
Ysabelle Cuevas,323nxrsc0C5JSsmlN2srN8,66000
Ethan Loukas,5KaNWaFGm1LSNLO7eEOsNW,22000
Janine Teñoso,79xQzxFHnfg9PfnicQ2JiK,1300
Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,311300
Sonny Boy Williamson II,69VgCcXFV59QuQWEXSTxfK,365100
Shannon & Keast,48hHNfz4xNPbsKEZOkNfmN,97300
Mia Rollo,3GIa8pG4XaVNJ6vptOiDIG,87900
AJJ,4IDpDJIDfK96HMLD4Tphyl,304200
SANNA NORTH,1TGsAa2Jc0sAhpfK3wunw9,3900
Pigeon Pit,4Bmvzoo0CzEGV4EczcG9rv,104500
Kris Allen,2zwHaEmXxX6DTv4i8ajNCM,273300
Lúc,0C7P4ox94jj7mYQnjwO7nX,64000
Edy Hafler,6i9IwqxrIrIQZKJbBOBc3T,183000
Mat Kearney,2NQEwAVHBNcI0tGMLlWwF1,772700
Simon Samaeng,7n4yZSvg16XY22sxvZzKfw,263200
Sakura Fujiwara,5tvnQkP9zNAqYW2YKYk1Et,198200
Eddie van der Meer,08WRjJPbPqSEOkFuc99ymW,123400
Maris Racal,4bOVj4CTZ1WzSIiWRG9b3n,111600
Apes of the State,4HemfSCDgnPiHQh8Z6iyd6,75800
Gail Blanco,3GCjJuW39MAe4vieRj9ZyB,111100
Emilie Mover,4dx2QFru02KbFFNYgwourF,13500
William Fitzsimmons,41FEVJCBGidsJwbjq0KfgM,256500
Vivid Color,4qXCADLD9pMWPUkOBCLQ9H,35000
Albert Collins,1uFixbBAduJkFAeRKznkvW,546400
Jon McLaughlin,6z29S0IoiBJpSMP8plyCj7,286700
EJ De Perio,0EsbqfoNiHI0u1OaQUYDlI,16000
Beyond The Guitar,4S5AtlCYMKonu1l2G9ZIFp,87300
Hannah's Yard,08qkAEn1wetskAwcPrcOPf,333200
Vendredi,728y8xDi9WMeYqKeuYgDF0,111500
Son&Dad,51ko40AiZIUn6oTSUS9NQb,49700
Chris Cresswell,1P8j4elxsyd9hIky8RRy6b,13300
Chuck Ragan,6iU0naWn1UgiTReoiXqPXI,74500
Tim Vantol,1a1kfqTA5XiOHLhDFgZhSd,34700
Chad Hates George,6nZs04GLkNYMWY2WMHfEpz,8700
Acoustic Guitar Collective,4uUpWtX0o0EM3p4P5L5X6n,41200
Jules Larson,66fOsZEHm1oSOEGov5KxxW,22000
Rosi Golan,1eggYygEtBl6TJv5CtkYn7,88600
Cat Power,6G7OerKc3eBO9sVkRNopFC,1000000
Will Moore,6XnR821CI0nzD4XFQ2ZFDo,48000
C.W. Stoneking,6FfC7T2cxMj6H7Q5mmqAYe,255000
Johnnyswim,4igDSX1kgfWbVTDCywcBGm,267000
Drew Holcomb,0Obcl00RkSejk0z0m4vUwT,221900
Ellie Holcomb,5hNiAUVPCTgcpy8vljCxzs,972900
Marc Broussard,4cEwEednPwWCdYT7ZhROZe,547400
Juicy Karkass,2aKKEnS80G2Fa8AsGkooLf,232
Mindy Smith,4QGC11o7gQR7MBEJ5cUMSv,70000
Anya Marina,6xYBLeSMu1AqPsnUzEvx5n,146500
SafetySuit,3V8Gdws52TzoL8WLZHvpzc,161300
Hannah Trigwell,7AEPFGsBBHqMtHGiYDFVQy,232600
Futuristic,5Z5jUyiNvFaqp0EVyLNf0p,567200
Filip Nordin,1bOdLrsbjrSDXbbeTB30X5,36800
John Legend,5y2Xq6xcjJb2jVM54GHK3t,21600000
Melvin Taylor,2JBKZGnF8j5nadn67i5B10,286900
